129, 2591.99, 1101.25, 51.8593, "RazorfenDowns",
209, 1221.82, 840.746, 8.97647, "ZulFarrak",
229, 73.5083, -215.044, 52.3869, "BlackrockSpire",
230, 596.432, -188.498, -50, "BlackrockDepths",
249, 29.4548, -68.9609, -6.98402, "OnyxiasLair",
269, -2061.12, 6635.97, -144.596, "BlackMorass",
289, 199.427, 126.464, 134.912, "Scholomance",
309, -11942.6, -1544.28, 39.5945, "ZulGurub",
34, 49.8212, 0.870144, -16.7136, "Stockades",
389, 1.7849, -14.3685, -17.5533, "RagefireChasm",
409, 1115.22, -462.959, -95.0148, "MoltenCore",
449, -0.199573, -1.59112, -0.255884, "ChampionHall",
469, -7665.55, -1102.49, 399.679, "BlackwingLair",
48, -152.984, 106.33, -40.0953, "BlackfathomDeep",
533, 3005.87, -3435.01, 293.882, "Naxxramas",
533, 3498.27, -5349.45, 144.967, "Frostwyrm Lair",
70, -228.193, 46.1602, -46.0186, "Uldaman",

30, -818.155, -623.043, 54.0884, "AlteracValleyHorde",
30, 883.187, -489.375, 96.7618, "AlteracValleyAlliance",
489, 1525.95, 1481.66, 352.001, "WarsongGulchAlliance",
489, 930.851, 1431.57, 345.537, "WarsongGulchHorde",
529, 1308.68, 1306.03, -9.0107, "ArathiBasinAlliance",
529, 686.053, 683.165, -12.9149, "ArathiBasinHorde",
